#####################################################################
# Alchemist log file - simulation started at: 2023-05-12T20:34+0000 #
#####################################################################
#
# random = 7.0
#
# The columns have the following meaning: 
# time coverage totalReward 
0.0 0.10683300889113391 0.0
0.1 0.10683300889113391 0.0
1.1 0.10683300889113391 0.0
2.1 0.10762968920949266 0.0
3.1 0.10768353492522659 0.0
4.1 0.10774030298350033 0.0
5.1 0.10701792477865431 0.0
6.1 0.1097635588610773 0.0
7.1 0.11392677778532198 0.0
8.1 0.11392677778532198 0.0
9.1 0.11483338792517908 0.0
10.1 0.1168911523157264 0.0
11.1 0.11889090509798304 0.0
12.1 0.11421888768430344 0.0
13.1 0.11432757395578483 0.0
14.1 0.10985701164485107 0.0
15.1 0.11259661450969186 0.0
16.1 0.10507537529717736 0.0
17.1 0.1081443945615081 0.0
18.1 0.11663460794722971 0.0
19.1 0.11663460794722971 0.0
20.1 0.114530521318551 0.0
21.1 0.11454214851120949 0.0
22.1 0.11472215237616294 0.0
23.1 0.11125233694136935 0.0
24.1 0.10872332927189898 0.0
25.1 0.10910043581453895 0.0
26.1 0.1079076226382809 0.0
27.1 0.1052668819997876 0.0
28.1 0.10766730659750538 0.0
29.1 0.10551733297320125 0.0
30.1 0.1083883790748336 0.0
31.1 0.11097956424515146 0.0
32.1 0.11109235423168878 0.0
33.1 0.11102433204576165 0.0
34.1 0.11154401159784488 0.0
35.1 0.10941592445383905 0.0
36.1 0.11582232107615824 0.0
37.1 0.11980186766289945 0.0
38.1 0.11453823132865609 0.0
39.1 0.11315490628980138 0.0
40.1 0.11500655226503931 0.0
41.1 0.10314047364830466 0.0
42.1 0.1119468596258357 0.0
43.1 0.1183244680652625 0.0
44.1 0.12184303066072051 0.0
45.1 0.12701787752375368 0.0
46.1 0.12776537543894206 0.0
47.1 0.12038963157841068 0.0
48.1 0.12203043364827482 0.0
49.1 0.12073384622310232 0.0
50.1 0.12442016371584683 0.0
51.1 0.12007681657164701 0.0
52.1 0.12417543307251115 0.0
53.1 0.12385049345308223 0.0
54.1 0.12498380276102923 0.0
55.1 0.11652660562825763 0.0
56.1 0.11717449518708838 0.0
57.1 0.11537259121252842 0.0
58.1 0.1155420249023378 0.0
59.1 0.11357161990048117 0.0
60.1 0.11659145676164155 0.0
61.1 0.11633279835811604 0.0
62.1 0.11349501721943708 0.0
63.1 0.10917349437803472 0.0
64.1 0.10530891399036049 0.0
65.1 0.11194810317585265 0.0
66.1 0.10871344304926422 0.0
67.1 0.10719519283357049 0.0
68.1 0.10324866249977926 0.0
69.1 0.10396544472954901 0.0
70.1 0.10534043798329017 0.0
71.1 0.10580241681458694 0.0
72.1 0.10965400210458405 0.0
73.1 0.11354936035517778 0.0
74.1 0.1187029425129211 0.0
75.1 0.11743470802813508 0.0
76.1 0.11743445931813168 0.0
77.1 0.11622317942412194 0.0
78.1 0.11445522436502471 0.0
79.1 0.11143849637890671 0.0
80.1 0.11913476525630685 0.0
81.1 0.12150938619117294 0.0
82.1 0.12446978136152312 0.0
83.1 0.13374113069039162 0.0
84.1 0.13252102159126153 0.0
85.1 0.1344239018271978 0.0
86.1 0.13601160431133816 0.0
87.1 0.1320428766097444 0.0
88.1 0.13025054797031496 0.0
89.1 0.13223052830730211 0.0
90.1 0.1365277397458731 0.0
91.1 0.1334313002036686 0.0
92.1 0.1270244683388435 0.0
93.1 0.13185367047466554 0.0
94.1 0.13222487015472498 0.0
95.1 0.1331284957745414 0.0
96.1 0.14005805388899129 0.0
97.1 0.14196845760253007 0.0
98.1 0.13129015578448483 0.0
99.1 0.13404760359206883 0.0
100.1 0.13898623812938243 0.0
101.1 0.14345437551778314 0.0
102.1 0.140574686743533 0.0
103.1 0.1422183489784361 0.0
104.1 0.14188594805890548 0.0
105.1 0.137595451790426 0.0
106.1 0.1385473893284009 0.0
107.1 0.13203454482463084 0.0
108.1 0.12851169198161436 0.0
109.1 0.12811437775119897 0.0
110.1 0.1285629262423127 0.0
111.1 0.12946599226462147 0.0
112.1 0.1326436978004336 0.0
113.1 0.1330791268388685 0.0
114.1 0.13014155081132933 0.0
115.1 0.13155994396066203 0.0
116.1 0.13078365786258125 0.0
117.1 0.13145909205428744 0.0
118.1 0.13080262200033974 0.0
119.1 0.1283699272796821 0.0
120.1 0.1283699272796821 0.0
121.1 0.12193611037948919 0.0
122.1 0.12751026115296485 0.0
123.1 0.12704548433412996 0.0
124.1 0.12974031939836056 0.0
125.1 0.1356998463220889 0.0
126.1 0.13188631366261044 0.0
127.1 0.1330605357661151 0.0
128.1 0.13689837982842493 0.0
129.1 0.1323869047219335 0.0
130.1 0.1374031989578056 0.0
131.1 0.14116344549905777 0.0
132.1 0.1396403454382979 0.0
133.1 0.13930209983368763 0.0
134.1 0.13930197547868592 0.0
135.1 0.1442202779732224 0.0
136.1 0.13960005441774875 0.0
137.1 0.13854614577838398 0.0
138.1 0.14597418091712808 0.0
139.1 0.14499961076884468 0.0
140.1 0.14572410300871952 0.0
141.1 0.14572410300871952 0.0
142.1 0.14332604115603395 0.0
143.1 0.14803984185028304 0.0
144.1 0.15002454767733459 0.0
