#####################################################################
# Alchemist log file - simulation started at: 2023-05-12T00:47+0000 #
#####################################################################
#
# random = 13.0
#
# The columns have the following meaning: 
# time coverage totalReward inside[sum] 
0.0 0.10047511071947576 0.0 0.0
0.1 0.10047511071947576 0.0 0.0
1.1 0.10047511071947576 0.0 4.0
2.1 0.10271965632256892 0.0 4.0
3.1 0.11081466951290395 0.0 4.0
4.1 0.11532452800437332 0.0 4.0
5.1 0.1163388917531991 0.0 4.0
6.1 0.1147624433967121 0.0 4.0
7.1 0.1147624433967121 0.0 4.0
8.1 0.11212182711322051 0.0 4.0
9.1 0.10700437008346957 0.0 4.0
10.1 0.1121036091054722 0.0 4.0
11.1 0.1035451870013209 0.0 4.0
12.1 0.10099864527661154 0.0 4.0
13.1 0.09528042923367225 0.0 4.0
14.1 0.0932564272260851 0.0 4.0
15.1 0.0910745565438462 0.0 4.0
16.1 0.09692775994112537 0.0 4.0
17.1 0.10219773838045518 0.0 4.0
18.1 0.10717405248328234 0.0 4.0
19.1 0.10493261575523155 0.0 4.0
20.1 0.1037028691434701 0.0 4.0
21.1 0.0983121419974945 0.0 4.0
22.1 0.09226724536510256 0.0 4.0
23.1 0.09522341246539512 0.0 4.0
24.1 0.09990133674165522 0.0 4.0
25.1 0.10003352610845696 0.0 4.0
26.1 0.09884898253981163 0.0 4.0
27.1 0.09832221475263178 0.0 4.0
28.1 0.09934727303160333 0.0 4.0
29.1 0.09554866297232828 0.0 4.0
30.1 0.09950563912626186 0.0 4.0
31.1 0.10007785866656121 0.0 4.0
32.1 0.10536636600114357 0.0 4.0
33.1 0.10279203093355538 0.0 4.0
34.1 0.10226886944142469 0.0 4.0
35.1 0.10518710826620029 0.0 4.0
36.1 0.10542008736187579 0.0 4.0
37.1 0.1141113206078373 0.0 4.0
38.1 0.11179017232370005 0.0 4.0
39.1 0.11179017232370005 0.0 4.0
40.1 0.11160525643617965 0.0 4.0
41.1 0.11477717946441296 0.0 4.0
42.1 0.11226564367268073 0.0 4.0
43.1 0.11226564367268073 0.0 4.0
44.1 0.10628684172368966 0.0 4.0
45.1 0.10526594933727489 0.0 4.0
46.1 0.10717554474330268 0.0 4.0
47.1 0.10911417704222623 0.0 4.0
48.1 0.10213046232453821 0.0 4.0
49.1 0.1042509016359398 0.0 4.0
50.1 0.10583866629758103 0.0 4.0
51.1 0.10860270492025487 0.0 4.0
52.1 0.11092279618687771 0.0 4.0
53.1 0.10932974643766444 0.0 4.0
54.1 0.1093298086151653 0.0 4.0
55.1 0.10912076785731607 0.0 4.0
56.1 0.10601151974993701 0.0 4.0
57.1 0.10505697075692651 0.0 4.0
58.1 0.10519923287886554 0.0 4.0
59.1 0.10636213867721594 0.0 3.0
60.1 0.10533017869565034 0.0 3.0
61.1 0.1054050404066707 0.0 3.0
62.1 0.10452106287712208 0.0 4.0
63.1 0.10530406414529439 0.0 3.0
64.1 0.10838166390474208 0.0 4.0
65.1 0.10862459140055318 0.0 4.0
66.1 0.10584973389273188 0.0 4.0
67.1 0.10211684545185261 0.0 4.0
68.1 0.10002967110340441 0.0 3.0
69.1 0.09680962268951515 0.0 3.0
70.1 0.09707213609809322 0.0 3.0
71.1 0.09319773166528508 0.0 3.0
72.1 0.09155730266042604 0.0 3.0
73.1 0.0891111154220845 0.0 3.0
74.1 0.09458012404162709 0.0 3.0
75.1 0.09442890835956602 0.0 3.0
76.1 0.08872698282184878 0.0 3.0
77.1 0.0890345127410404 0.0 3.0
78.1 0.08606659409308767 0.0 3.0
79.1 0.08977952355619491 0.0 3.0
80.1 0.09011061874820774 0.0 3.0
81.1 0.09260076547964843 0.0 3.0
82.1 0.09784500243362738 0.0 3.0
83.1 0.09960021110505088 0.0 3.0
84.1 0.0995440648217856 0.0 3.0
85.1 0.09313076649687235 0.0 3.0
86.1 0.08865006925330045 0.0 3.0
87.1 0.08925841392159219 0.0 3.0
88.1 0.0807983566237816 0.0 3.0
89.1 0.08615892768184619 0.0 3.0
90.1 0.08878903596769457 0.0 3.0
91.1 0.09136144353275648 0.0 3.0
92.1 0.09462731676477033 0.0 3.0
93.1 0.09270105778851542 0.0 3.0
94.1 0.10207891717633565 0.0 3.0
95.1 0.10105224228234207 0.0 3.0
96.1 0.09396997622581077 0.0 3.0
97.1 0.09974589298953652 0.0 3.0
98.1 0.0980811525818461 0.0 3.0
99.1 0.09067438214839182 0.0 3.0
100.1 0.08864521940823435 0.0 3.0
