#####################################################################
# Alchemist log file - simulation started at: 2023-05-11T19:26+0000 #
#####################################################################
#
# random = 5.0
#
# The columns have the following meaning: 
# time coverage totalReward inside[sum] 
0.0 0.09806759788666136 0.0 0.0
0.1 0.09806759788666136 0.0 0.0
1.1 0.09806759788666136 0.0 4.0
2.1 0.10081994713917589 0.0 4.0
3.1 0.10082007149417757 0.0 4.0
4.1 0.1048686351068595 0.0 4.0
5.1 0.10777506020647407 0.0 4.0
6.1 0.10797993507176651 0.0 4.0
7.1 0.10797993507176651 0.0 4.0
8.1 0.1159441889778193 0.0 4.0
9.1 0.11212997236583153 0.0 4.0
10.1 0.10656023619491602 0.0 4.0
11.1 0.10918139092064236 0.0 4.0
12.1 0.10924133003145933 0.0 4.0
13.1 0.11253226079631472 0.0 4.0
14.1 0.11545435462614285 0.0 4.0
15.1 0.11379564543603465 0.0 4.0
16.1 0.11379564543603465 0.0 4.0
17.1 0.11482431001005534 0.0 4.0
18.1 0.1068023553832161 0.0 4.0
19.1 0.1068023553832161 0.0 4.0
20.1 0.10453412015230006 0.0 4.0
21.1 0.10548238921772496 0.0 4.0
22.1 0.10803589482252925 0.0 4.0
23.1 0.11007618733533843 0.0 4.0
24.1 0.10747001738731633 0.0 4.0
25.1 0.10872227225438458 0.0 4.0
26.1 0.11378712711841854 0.0 4.0
27.1 0.11904678409260766 0.0 4.0
28.1 0.11904678409260766 0.0 4.0
29.1 0.11673036129853483 0.0 4.0
30.1 0.11673036129853483 0.0 4.0
31.1 0.11443165909220351 0.0 4.0
32.1 0.10783189044224867 0.0 4.0
33.1 0.10783189044224867 0.0 4.0
34.1 0.10460773831330347 0.0 4.0
35.1 0.10453331184478903 0.0 4.0
36.1 0.10407232785350583 0.0 4.0
37.1 0.10732197275779849 0.0 4.0
38.1 0.10327732632766996 0.0 4.0
39.1 0.10251005596721206 0.0 4.0
40.1 0.10497147669326123 0.0 4.0
41.1 0.10788567398048174 0.0 4.0
42.1 0.10788567398048174 0.0 4.0
43.1 0.10919793013586779 0.0 4.0
44.1 0.1117184816652229 0.0 4.0
45.1 0.11563410978109291 0.0 4.0
46.1 0.11801364273852595 0.0 4.0
47.1 0.11261707090747068 0.0 4.0
48.1 0.11206698655747303 0.0 4.0
49.1 0.1123318627110833 0.0 4.0
50.1 0.11527627826371567 0.0 4.0
51.1 0.11499977491744694 0.0 4.0
52.1 0.12092672083073121 0.0 4.0
53.1 0.12092672083073121 0.0 4.0
54.1 0.12419912270033404 0.0 4.0
55.1 0.11870300469042196 0.0 4.0
56.1 0.11041393551994194 0.0 4.0
57.1 0.11259642797718931 0.0 4.0
58.1 0.11206387768243065 0.0 4.0
59.1 0.11499647950990202 0.0 4.0
60.1 0.11499647950990202 0.0 4.0
61.1 0.1158738662243608 0.0 4.0
62.1 0.11978918345272657 0.0 4.0
