#####################################################################
# Alchemist log file - simulation started at: 2023-05-11T17:26+0000 #
#####################################################################
#
# random = 2.0
#
# The columns have the following meaning: 
# time coverage totalReward inside[sum] 
0.0 0.10246783744413662 0.0 0.0
0.1 0.10246783744413662 0.0 0.0
1.1 0.10246783744413662 0.0 4.0
2.1 0.09559063278540032 0.0 4.0
3.1 0.09443487739964739 0.0 4.0
4.1 0.08951638837260838 0.0 4.0
5.1 0.09371716250736492 0.0 4.0
6.1 0.0927333900889561 0.0 4.0
7.1 0.09056818297694433 0.0 4.0
8.1 0.09767587963132224 0.0 4.0
9.1 0.10066064838200464 0.0 4.0
10.1 0.09187919558231343 0.0 4.0
11.1 0.08614170451411143 0.0 4.0
12.1 0.09513822928923407 0.0 4.0
13.1 0.0954359351632918 0.0 4.0
14.1 0.09671044957566342 0.0 4.0
15.1 0.09663844802968205 0.0 4.0
16.1 0.09692446453358045 0.0 4.0
17.1 0.09619350583361748 0.0 4.0
18.1 0.09652373054061844 0.0 4.0
19.1 0.09652373054061844 0.0 4.0
20.1 0.09975434912965178 0.0 4.0
21.1 0.09936859991439402 0.0 4.0
22.1 0.0980071613558376 0.0 4.0
23.1 0.09248157121052382 0.0 4.0
24.1 0.09110751061929537 0.0 4.0
25.1 0.09057676347206128 0.0 4.0
26.1 0.09284083281042055 0.0 4.0
27.1 0.08600454094724189 0.0 4.0
28.1 0.0838793761457759 0.0 4.0
29.1 0.08788435333036373 0.0 4.0
30.1 0.08877740877503608 0.0 4.0
31.1 0.08925735690407778 0.0 4.0
32.1 0.082722377210006 0.0 4.0
33.1 0.08212248868182952 0.0 4.0
34.1 0.08865753055340214 0.0 3.0
35.1 0.08567661680777229 0.0 4.0
36.1 0.08665031647104382 0.0 4.0
37.1 0.08665031647104382 0.0 4.0
38.1 0.08899179679795818 0.0 4.0
39.1 0.09055375779674772 0.0 3.0
40.1 0.08619598547235129 0.0 3.0
41.1 0.08761866886924245 0.0 3.0
42.1 0.0904926994909155 0.0 3.0
43.1 0.0905010934535299 0.0 4.0
44.1 0.09618623106601833 0.0 4.0
45.1 0.10057913367839359 0.0 4.0
46.1 0.0989768816590549 0.0 4.0
47.1 0.10344445944994798 0.0 4.0
48.1 0.10517044469597316 0.0 4.0
49.1 0.10200585861283985 0.0 4.0
50.1 0.09684537475250246 0.0 4.0
51.1 0.09719487448476614 0.0 4.0
52.1 0.09785830841880874 0.0 4.0
53.1 0.09741610203278148 0.0 3.0
54.1 0.09836443327570722 0.0 3.0
55.1 0.09910173408075663 0.0 3.0
56.1 0.10418748058507536 0.0 4.0
57.1 0.09984817497843063 0.0 4.0
58.1 0.10171107508132195 0.0 4.0
59.1 0.10125394609509128 0.0 4.0
60.1 0.10717050836573402 0.0 4.0
61.1 0.10588442893820477 0.0 4.0
62.1 0.10332613566583523 0.0 3.0
63.1 0.09937133572443131 0.0 3.0
64.1 0.10663428959842537 0.0 2.0
65.1 0.09593975945265892 0.0 3.0
66.1 0.09707437448812373 0.0 3.0
67.1 0.09382572442384463 0.0 3.0
68.1 0.0922158245719017 0.0 3.0
69.1 0.0953237047742621 0.0 3.0
70.1 0.09686004864270246 0.0 3.0
71.1 0.09686017299770416 0.0 3.0
72.1 0.09694262036382792 0.0 3.0
73.1 0.09234981708622801 0.0 3.0
74.1 0.0950239470426764 0.0 3.0
75.1 0.09154331272273535 0.0 3.0
76.1 0.0912877631942522 0.0 3.0
77.1 0.09519139105245866 0.0 1.0
78.1 0.10506020398697058 0.0 2.0
79.1 0.10636182778971172 0.0 2.0
80.1 0.10585371325278611 0.0 2.0
