#####################################################################
# Alchemist log file - simulation started at: 2023-05-11T23:28+0000 #
#####################################################################
#
# random = 11.0
#
# The columns have the following meaning: 
# time coverage totalReward inside[sum] 
0.0 0.09738134480980773 0.0 0.0
0.1 0.09738134480980773 0.0 0.0
1.1 0.09738134480980773 0.0 4.0
2.1 0.09765971348110189 0.0 4.0
3.1 0.09780060769802228 0.0 4.0
4.1 0.10182473555287115 0.0 4.0
5.1 0.10255246102279005 0.0 4.0
6.1 0.10298583820369697 0.0 4.0
7.1 0.09404297261180572 0.0 4.0
8.1 0.09057981016960281 0.0 4.0
9.1 0.09045893710795531 0.0 4.0
10.1 0.09742741833793571 0.0 4.0
11.1 0.09723379760029666 0.0 4.0
12.1 0.09803880970376898 0.0 4.0
13.1 0.09934466157656774 0.0 4.0
14.1 0.10243270715615779 0.0 4.0
15.1 0.09477492615178225 0.0 4.0
16.1 0.09379706059595394 0.0 4.0
17.1 0.08510439726747293 0.0 4.0
18.1 0.0815050039209132 0.0 4.0
19.1 0.08389647495850895 0.0 4.0
20.1 0.08189516773873114 0.0 4.0
21.1 0.08190990380643198 0.0 4.0
22.1 0.08190990380643198 0.0 4.0
23.1 0.08190990380643198 0.0 4.0
24.1 0.08190990380643198 0.0 3.0
25.1 0.08190990380643198 0.0 3.0
26.1 0.08190990380643198 0.0 3.0
27.1 0.08085487597205196 0.0 3.0
28.1 0.08085475161705026 0.0 3.0
29.1 0.08202891154305407 0.0 3.0
30.1 0.08185313574815824 0.0 3.0
31.1 0.08737922331347882 0.0 3.0
32.1 0.08372418110366059 0.0 3.0
33.1 0.08301063210393492 0.0 3.0
34.1 0.07925946347780649 0.0 3.0
35.1 0.08415252190699887 0.0 3.0
36.1 0.08415252190699887 0.0 3.0
37.1 0.08708618075198464 0.0 4.0
38.1 0.09214917029099319 0.0 4.0
39.1 0.09445247363238722 0.0 4.0
40.1 0.09905765023265577 0.0 3.0
41.1 0.09566505925391476 0.0 4.0
42.1 0.09633719803807601 0.0 4.0
43.1 0.09800554474081558 0.0 4.0
44.1 0.08977013475356693 0.0 4.0
45.1 0.09245564319267041 0.0 4.0
46.1 0.0933169259344097 0.0 4.0
47.1 0.09286408719573751 0.0 4.0
48.1 0.08897333008020648 0.0 4.0
49.1 0.09355127293510385 0.0 4.0
50.1 0.09513505823669084 0.0 4.0
51.1 0.09404110728678029 0.0 4.0
52.1 0.0914079523033904 0.0 4.0
53.1 0.09189921673758632 0.0 4.0
54.1 0.09189921673758632 0.0 4.0
55.1 0.09771181822681209 0.0 4.0
56.1 0.09771169387181039 0.0 4.0
