#####################################################################
# Alchemist log file - simulation started at: 2023-05-11T18:45+0000 #
#####################################################################
#
# random = 4.0
#
# The columns have the following meaning: 
# time coverage totalReward inside[sum] 
0.0 0.10673470626229405 0.0 0.0
0.1 0.10673470626229405 0.0 0.0
1.1 0.10673470626229405 0.0 4.0
2.1 0.10536294623859696 0.0 4.0
3.1 0.10825849027556322 0.0 4.0
4.1 0.11388642458727197 0.0 4.0
5.1 0.11128261738428208 0.0 4.0
6.1 0.11700462625477305 0.0 4.0
7.1 0.11740797170277066 0.0 4.0
8.1 0.11250875770099436 0.0 4.0
9.1 0.11647083240999745 0.0 4.0
10.1 0.11647083240999745 0.0 4.0
11.1 0.10939708467108226 0.0 4.0
12.1 0.11519911598516396 0.0 4.0
13.1 0.11332253683208618 0.0 4.0
14.1 0.11332253683208618 0.0 4.0
15.1 0.10965947372465863 0.0 4.0
16.1 0.10571020758083013 0.0 4.0
17.1 0.11196159569353654 0.0 4.0
18.1 0.10677126663279236 0.0 4.0
19.1 0.10679893562066949 0.0 4.0
20.1 0.10941946857138736 0.0 4.0
21.1 0.11509751794877916 0.0 4.0
22.1 0.11773340874220636 0.0 4.0
23.1 0.12115826984388722 0.0 4.0
24.1 0.11912388419365855 0.0 4.0
25.1 0.12340897101956427 0.0 4.0
26.1 0.11889351655301864 0.0 4.0
27.1 0.1216905714286425 0.0 4.0
28.1 0.11389226927235163 0.0 4.0
29.1 0.11129946748701174 0.0 4.0
30.1 0.10011292677703919 0.0 4.0
31.1 0.0938559426892565 0.0 4.0
32.1 0.09579351797066565 0.0 4.0
33.1 0.09579351797066565 0.0 4.0
34.1 0.09319592851776051 0.0 4.0
35.1 0.0899907405265738 0.0 4.0
36.1 0.09065473405812402 0.0 4.0
37.1 0.09069384370615709 0.0 4.0
38.1 0.09777567452018245 0.0 4.0
39.1 0.1004125601536232 0.0 4.0
40.1 0.10146497653296763 0.0 4.0
41.1 0.10675534919257541 0.0 4.0
42.1 0.10730605531758153 0.0 4.0
43.1 0.10917442704054744 0.0 4.0
44.1 0.11478862012456889 0.0 4.0
45.1 0.10887367446894819 0.0 4.0
46.1 0.11429225713530347 0.0 4.0
47.1 0.1086536904709498 0.0 4.0
48.1 0.11315702032483019 0.0 4.0
49.1 0.11461663715722477 0.0 4.0
50.1 0.11390619703254147 0.0 4.0
51.1 0.11662640051711784 0.0 4.0
52.1 0.11707843094827901 0.0 4.0
53.1 0.11850882435527528 0.0 4.0
54.1 0.11338222723289976 0.0 4.0
55.1 0.1119926844439603 0.0 4.0
56.1 0.11462515547484087 0.0 4.0
57.1 0.1161277991378219 0.0 4.0
58.1 0.11350596045958625 0.0 4.0
59.1 0.11654339355348646 0.0 4.0
60.1 0.11308284256631915 0.0 4.0
61.1 0.11756353980989105 0.0 4.0
62.1 0.12241599633103004 0.0 4.0
63.1 0.12634692011210852 0.0 4.0
64.1 0.12315298624857521 0.0 4.0
65.1 0.12343813226746174 0.0 4.0
66.1 0.12492827825277243 0.0 4.0
67.1 0.1298024347217072 0.0 4.0
68.1 0.12943272730166808 0.0 4.0
69.1 0.12943272730166808 0.0 4.0
70.1 0.13142557838133062 0.0 4.0
71.1 0.12577569541182274 0.0 4.0
72.1 0.12435052491489765 0.0 4.0
73.1 0.1214202858324585 0.0 4.0
74.1 0.12667148666653236 0.0 4.0
75.1 0.1260154518550906 0.0 4.0
76.1 0.11907364477297377 0.0 4.0
77.1 0.11907364477297377 0.0 4.0
78.1 0.11598640750089473 0.0 4.0
79.1 0.1169693094342917 0.0 4.0
80.1 0.11953413134425021 0.0 4.0
81.1 0.12025750438910979 0.0 4.0
82.1 0.11555271943248356 0.0 4.0
83.1 0.11345323393886758 0.0 4.0
84.1 0.11272986089400801 0.0 4.0
85.1 0.10941903332888142 0.0 4.0
86.1 0.11127782971671682 0.0 4.0
87.1 0.10948183260473737 0.0 4.0
88.1 0.10661203005312198 0.0 4.0
89.1 0.10885290718366512 0.0 4.0
90.1 0.11145348115661095 0.0 4.0
91.1 0.12266184616938096 0.0 4.0
92.1 0.12058928353363194 0.0 4.0
93.1 0.12042936300145221 0.0 4.0
94.1 0.11697428363435948 0.0 4.0
95.1 0.11261856316749101 0.0 4.0
96.1 0.11442009407704588 0.0 4.0
97.1 0.11681044591962637 0.0 4.0
98.1 0.11949035838365359 0.0 4.0
99.1 0.11898311433173984 0.0 4.0
100.1 0.12119277835685757 0.0 4.0
101.1 0.12482972691392918 0.0 4.0
102.1 0.12496185410323007 0.0 4.0
103.1 0.1214720175131636 0.0 4.0
104.1 0.12473291654510965 0.0 4.0
105.1 0.11837968168601506 0.0 4.0
106.1 0.11898908337182121 0.0 4.0
107.1 0.11739298692506642 0.0 4.0
108.1 0.11726614482333755 0.0 4.0
109.1 0.11726614482333755 0.0 4.0
110.1 0.11536730612495638 0.0 4.0
111.1 0.1195033534813307 0.0 4.0
112.1 0.11822056946134636 0.0 4.0
113.1 0.1231273069407252 0.0 4.0
114.1 0.11968889114385958 0.0 4.0
115.1 0.11937371339206371 0.0 4.0
116.1 0.11525084766586906 0.0 4.0
117.1 0.11623803984682449 0.0 4.0
118.1 0.11341729534337773 0.0 4.0
119.1 0.1094590756394272 0.0 4.0
120.1 0.10896439144268466 0.0 4.0
121.1 0.10716970005822302 0.0 4.0
122.1 0.10791116675582921 0.0 4.0
123.1 0.10592372511874037 0.0 4.0
124.1 0.1053421789533139 0.0 4.0
125.1 0.10553536444844702 0.0 4.0
126.1 0.10582890442994797 0.0 4.0
127.1 0.10538850119144527 0.0 4.0
128.1 0.106988701353256 0.0 4.0
129.1 0.10704565594403229 0.0 4.0
130.1 0.10547592275763683 0.0 4.0
131.1 0.10781342372449697 0.0 4.0
132.1 0.10533490418571474 0.0 4.0
133.1 0.10534143282330373 0.0 4.0
134.1 0.10534143282330373 0.0 3.0
135.1 0.10534130846830203 0.0 3.0
136.1 0.10561432987452332 0.0 3.0
137.1 0.10531923545550118 0.0 3.0
138.1 0.10709869335225519 0.0 2.0
139.1 0.10709875552975603 0.0 2.0
140.1 0.11121764189589646 0.0 2.0
141.1 0.1111340131572566 0.0 2.0
142.1 0.11635580403342961 0.0 2.0
143.1 0.11635580403342961 0.0 2.0
144.1 0.11218189057903917 0.0 2.0
145.1 0.11143588492387112 0.0 3.0
146.1 0.11143588492387112 0.0 3.0
147.1 0.11209173320281032 0.0 3.0
148.1 0.10852566699670484 0.0 3.0
149.1 0.10787000525026817 0.0 3.0
150.1 0.10557720990651737 0.0 3.0
151.1 0.10604652568291414 0.0 3.0
152.1 0.10604658786041499 0.0 3.0
153.1 0.10581087295470219 0.0 3.0
154.1 0.10886428566632021 0.0 3.0
155.1 0.11365294807158968 0.0 3.0
156.1 0.1102091850096512 0.0 3.0
157.1 0.10687342426668477 0.0 3.0
158.1 0.10637743434242443 0.0 3.0
159.1 0.10534143282330373 0.0 2.0
160.1 0.10534130846830203 0.0 2.0
161.1 0.10534143282330373 0.0 2.0
162.1 0.10545739386238427 0.0 2.0
163.1 0.10545733168488343 0.0 1.0
